Project Code,Name,Description,Nickname,Start Date,End Date,Status
PROJ001,B1 - Burwood_46 Park Rd,Project description - Sample,B1,1/1/2024,,COMPLETED
PROJ002,G1 - Gerringong_15-17 Blackwood St,Project description - Sample,G1,2/1/2024,,ACTIVE
PROJ003,K10 - Kiama_14 Akuna St,Project description - Sample,K10,3/1/2024,,ACTIVE
PROJ004,K2 - Kiama_15 Bourrool Ln,Project description - Sample,K2,4/1/2024,,COMPLETED
PROJ005,K3 - Kiama_47 Thomson ST,Project description - Sample,K3,5/1/2024,,COMPLETED
PROJ006,K4 - Kiama_44 Manning St,Project description - Sample,K4,6/1/2024,,COMPLETED
PROJ007,K5 - Kiama_19A Bourrool Lane,Project description - Sample,K5,7/1/2024,,ACTIVE
PROJ008,K6 - Kiama_68 Shoalhaven,Project description - Sample,K6,8/1/2024,,ACTIVE
PROJ009,K7 - Kiama_41-43 Thomson St,Project description - Sample,K7,9/1/2024,,ACTIVE
PROJ010,K8 - Kiama_Lot 2 Dido St,Project description - Sample,K8,10/1/2024,,ACTIVE
PROJ011,K9 - Kiama_5 Pacific St,Project description - Sample,K9 ,11/1/2024,,ACTIVE
PROJ012,L2 - Leppington_182 Byron Rd,Project description - Sample,L2,12/1/2024,,ACTIVE
PROJ013,M1 - Mosman_49A Central Ave,Project description - Sample,M1,13/1/2024,,ACTIVE
PROJ014,M2 - Mosman_5 Bond St,Project description - Sample,M2,14/1/2024,,ACTIVE
PROJ015,N1 - Norwest_89 Windsor Rd,Project description - Sample,N1,15/1/2024,,ACTIVE
PROJ016,Office Admin,Project description - Sample,OA,16/1/2024,,ACTIVE
PROJ017,Potential Project,Project description - Sample,PP,17/1/2024,,ACTIVE
PROJ018,North Ryde_1 Brendon St,Project description - Sample,,18/1/2024,,ACTIVE
PROJ019,Sans Souci_11a The Boulevarde,Project description - Sample,,19/1/2024,,ACTIVE
PROJ020,Allawah_107 Woids Ave,Project description - Sample,,20/1/2024,,ACTIVE
PROJ021,Sans Souci_159 The Promenade,Project description - Sample,,21/1/2024,,ACTIVE
PROJ022,Connells Point_182 Terry Street,Project description - Sample,,22/1/2024,,ACTIVE
PROJ023,Kensington_12 Cottenham Ave,Project description - Sample,,23/1/2024,,ACTIVE
PROJ024,Drummoyne_U11/88 St Georges Crescent,Project description - Sample,,24/1/2024,,ACTIVE
PROJ025,Roseville_23 Archbold Road,Project description - Sample,,25/1/2024,,ACTIVE
PROJ026,Sans Souci_201 The Promenade,Project description - Sample,,26/1/2024,,ACTIVE
PROJ027,Guildford_21 O'Neill St,Project description - Sample,,27/1/2024,,ACTIVE
PROJ028,Mosman_97 Bay Street,Project description - Sample,,28/1/2024,,ACTIVE
